판매몰상품번호/딜번호[출력],원상품명(쇼핑몰)[출력],원옵션(쇼핑몰)[출력],수량[출력],상품명구분,옵션분리,매입처,상품코드,"상품명_ERP기준
(빈칸삭제)","옵션명_ERP기준
(옵션공란NO채우기)",상품명_발주서기준,"옵션명_발주서기준
(옵션 공란 남겨두기)",기준판매가,매입단가,발주수량,기준판매가합계,매입가합계
12111,카모메 2인 국산 수저세트 10colors (식세기O),머스타드 X2,1,12111카모메2인국산수저세트10colors(식세기O)머스타드X2,,세정코코로,KAMOME000134,10COLORS카모메수저세트,머스타드,10 COLORS 카모메 수저세트,머스타드,7800,3510.0,2,15600,7020.0
12111,카모메 2인 국산 수저세트 10colors (식세기O),스카이블루 X2,1,12111카모메2인국산수저세트10colors(식세기O)스카이블루X2,,세정코코로,KAMOME000132,10COLORS카모메수저세트,스카이블루,10 COLORS 카모메 수저세트,스카이블루,7800,3510.0,2,15600,7020.0
12111,카모메 2인 국산 수저세트 10colors (식세기O),다크브라운 X2,1,12111카모메2인국산수저세트10colors(식세기O)다크브라운X2,,세정코코로,KAMOME000124,10COLORS카모메수저세트,다크브라운,10 COLORS 카모메 수저세트,다크브라운,7800,3510.0,2,15600,7020.0
12111,카모메 2인 국산 수저세트 10colors (식세기O),크림옐로우 X2,1,12111카모메2인국산수저세트10colors(식세기O)크림옐로우X2,,세정코코로,KAMOME000130,10COLORS카모메수저세트,크림옐로우,10 COLORS 카모메 수저세트,크림옐로우,7800,3510.0,2,15600,7020.0
12111,카모메 2인 국산 수저세트 10colors (식세기O),그레이 X2,1,12111카모메2인국산수저세트10colors(식세기O)그레이X2,,세정코코로,KAMOME000126,10COLORS카모메수저세트,그레이,10 COLORS 카모메 수저세트,그레이,7800,3510.0,2,15600,7020.0
12111,카모메 2인 국산 수저세트 10colors (식세기O),크림옐로우 X2,2,12111카모메2인국산수저세트10colors(식세기O)크림옐로우X2,,세정코코로,KAMOME000130,10COLORS카모메수저세트,크림옐로우,10 COLORS 카모메 수저세트,크림옐로우,7800,3510.0,4,31200,14040.0
12111,카모메 2인 국산 수저세트 10colors (식세기O),그레이 X2,1,12111카모메2인국산수저세트10colors(식세기O)그레이X2,,세정코코로,KAMOME000126,10COLORS카모메수저세트,그레이,10 COLORS 카모메 수저세트,그레이,7800,3510.0,2,15600,7020.0
12111,카모메 2인 국산 수저세트 10colors (식세기O),크림옐로우 X2,1,12111카모메2인국산수저세트10colors(식세기O)크림옐로우X2,,세정코코로,KAMOME000130,10COLORS카모메수저세트,크림옐로우,10 COLORS 카모메 수저세트,크림옐로우,7800,3510.0,2,15600,7020.0
12111,카모메 2인 국산 수저세트 10colors (식세기O),크림옐로우 X2,1,12111카모메2인국산수저세트10colors(식세기O)크림옐로우X2,,세정코코로,KAMOME000130,10COLORS카모메수저세트,크림옐로우,10 COLORS 카모메 수저세트,크림옐로우,7800,3510.0,2,15600,7020.0
12111,카모메 2인 국산 수저세트 10colors (식세기O),실버블루 X2,1,12111카모메2인국산수저세트10colors(식세기O)실버블루X2,,세정코코로,KAMOME000127,10COLORS카모메수저세트,실버블루,10 COLORS 카모메 수저세트,실버블루,7800,3510.0,2,15600,7020.0
12111,카모메 2인 국산 수저세트 10colors (식세기O),크림옐로우 X2,3,12111카모메2인국산수저세트10colors(식세기O)크림옐로우X2,,세정코코로,KAMOME000130,10COLORS카모메수저세트,크림옐로우,10 COLORS 카모메 수저세트,크림옐로우,7800,3510.0,6,46800,21060.0
12115,10 COLORS 카모메 커트러리 양식기 3P세트(스푼+포크+나이프),머스타드,2,1211510COLORS카모메커트러리양식기3P세트(스푼+포크+나이프)머스타드,,세정코코로,KAMOME000183,10COLORS카모메커트러리3P,머스타드,10 COLORS 카모메 커트러리3P,머스타드,11700,5265.0,2,23400,10530.0
12115,10 COLORS 카모메 커트러리 양식기 3P세트(스푼+포크+나이프),그레이,2,1211510COLORS카모메커트러리양식기3P세트(스푼+포크+나이프)그레이,,세정코코로,KAMOME000176,10COLORS카모메커트러리3P,그레이,10 COLORS 카모메 커트러리3P,그레이,11700,5265.0,2,23400,10530.0
12115,10 COLORS 카모메 커트러리 양식기 3P세트(스푼+포크+나이프),와인,2,1211510COLORS카모메커트러리양식기3P세트(스푼+포크+나이프)와인,,세정코코로,KAMOME000181,10COLORS카모메커트러리3P,와인,10 COLORS 카모메 커트러리3P,와인,11700,5265.0,2,23400,10530.0
12115,10 COLORS 카모메 커트러리 양식기 3P세트(스푼+포크+나이프),머스타드,2,1211510COLORS카모메커트러리양식기3P세트(스푼+포크+나이프)머스타드,,세정코코로,KAMOME000183,10COLORS카모메커트러리3P,머스타드,10 COLORS 카모메 커트러리3P,머스타드,11700,5265.0,2,23400,10530.0
12115,10 COLORS 카모메 커트러리 양식기 3P세트(스푼+포크+나이프),실버블루,8,1211510COLORS카모메커트러리양식기3P세트(스푼+포크+나이프)실버블루,,세정코코로,KAMOME000178,10COLORS카모메커트러리3P,실버블루,10 COLORS 카모메 커트러리3P,실버블루,11700,5265.0,8,93600,42120.0
12115,10 COLORS 카모메 커트러리 양식기 3P세트(스푼+포크+나이프),크림옐로우,1,1211510COLORS카모메커트러리양식기3P세트(스푼+포크+나이프)크림옐로우,,세정코코로,KAMOME000180,10COLORS카모메커트러리3P,크림옐로우,10 COLORS 카모메 커트러리3P,크림옐로우,11700,5265.0,1,11700,5265.0
12115,10 COLORS 카모메 커트러리 양식기 3P세트(스푼+포크+나이프),인디핑크,2,1211510COLORS카모메커트러리양식기3P세트(스푼+포크+나이프)인디핑크,,세정코코로,KAMOME000179,10COLORS카모메커트러리3P,인디핑크,10 COLORS 카모메 커트러리3P,인디핑크,11700,5265.0,2,23400,10530.0
12115,10 COLORS 카모메 커트러리 양식기 3P세트(스푼+포크+나이프),크림옐로우,2,1211510COLORS카모메커트러리양식기3P세트(스푼+포크+나이프)크림옐로우,,세정코코로,KAMOME000180,10COLORS카모메커트러리3P,크림옐로우,10 COLORS 카모메 커트러리3P,크림옐로우,11700,5265.0,2,23400,10530.0
23067,튀김바트(밧드),Japan 튀김바트,1,23067튀김바트(밧드)Japan튀김바트,,세정코코로,KAMOME000635,Japan튀김바트,NO,Japan 튀김바트,,12870,5791.5,1,12870,5791.5
45946,화이트 스틸 행주걸이,단품,1,45946화이트스틸행주걸이단품,,세정코코로,KAMOME005474,화이트스틸행주걸이,NO,화이트 스틸 행주걸이,,8580,3861.0,1,8580,3861.0
119709,검증된 국민수저! 카모메 4인 국산 수저세트 10colors (식세기O),파스텔 컬러 4인세트(색상4종),1,119709검증된국민수저!카모메4인국산수저세트10colors(식세기O)파스텔컬러4인세트(색상4종),,세정코코로,KAMOME000221,10COLORS카모메수저세트4P,파스텔컬러,10COLORS카모메수저세트4P,파스텔컬러,31200,14040.0,1,31200,14040.0
119709,검증된 국민수저! 카모메 4인 국산 수저세트 10colors (식세기O),크림옐로우 4인세트(동일색상),1,119709검증된국민수저!카모메4인국산수저세트10colors(식세기O)크림옐로우4인세트(동일색상),,세정코코로,KAMOME000130,10COLORS카모메수저세트,크림옐로우,10 COLORS 카모메 수저세트,크림옐로우,7800,3510.0,4,31200,14040.0
119709,검증된 국민수저! 카모메 4인 국산 수저세트 10colors (식세기O),그레이 4인세트(동일색상),1,119709검증된국민수저!카모메4인국산수저세트10colors(식세기O)그레이4인세트(동일색상),,세정코코로,KAMOME000126,10COLORS카모메수저세트,그레이,10 COLORS 카모메 수저세트,그레이,7800,3510.0,4,31200,14040.0
119709,검증된 국민수저! 카모메 4인 국산 수저세트 10colors (식세기O),실버블루 4인세트(동일색상),1,119709검증된국민수저!카모메4인국산수저세트10colors(식세기O)실버블루4인세트(동일색상),,세정코코로,KAMOME000127,10COLORS카모메수저세트,실버블루,10 COLORS 카모메 수저세트,실버블루,7800,3510.0,4,31200,14040.0
119709,검증된 국민수저! 카모메 4인 국산 수저세트 10colors (식세기O),와인 4인세트(동일색상),2,119709검증된국민수저!카모메4인국산수저세트10colors(식세기O)와인4인세트(동일색상),,세정코코로,KAMOME000131,10COLORS카모메수저세트,와인,10 COLORS 카모메 수저세트,와인,7800,3510.0,8,62400,28080.0
119709,검증된 국민수저! 카모메 4인 국산 수저세트 10colors (식세기O),머스타드 4인세트(동일색상),2,119709검증된국민수저!카모메4인국산수저세트10colors(식세기O)머스타드4인세트(동일색상),,세정코코로,KAMOME000134,10COLORS카모메수저세트,머스타드,10 COLORS 카모메 수저세트,머스타드,7800,3510.0,8,62400,28080.0
119709,검증된 국민수저! 카모메 4인 국산 수저세트 10colors (식세기O),빈티지 컬러 4인세트(색상4종),1,119709검증된국민수저!카모메4인국산수저세트10colors(식세기O)빈티지컬러4인세트(색상4종),,세정코코로,KAMOME000220,10COLORS카모메수저세트4P,빈티지컬러,10COLORS카모메수저세트4P,빈티지컬러,31200,14040.0,1,31200,14040.0
119709,검증된 국민수저! 카모메 4인 국산 수저세트 10colors (식세기O),파스텔 컬러 4인세트(색상4종),2,119709검증된국민수저!카모메4인국산수저세트10colors(식세기O)파스텔컬러4인세트(색상4종),,세정코코로,KAMOME000221,10COLORS카모메수저세트4P,파스텔컬러,10COLORS카모메수저세트4P,파스텔컬러,31200,14040.0,2,62400,28080.0
119709,검증된 국민수저! 카모메 4인 국산 수저세트 10colors (식세기O),파스텔 컬러 4인세트(색상4종),1,119709검증된국민수저!카모메4인국산수저세트10colors(식세기O)파스텔컬러4인세트(색상4종),,세정코코로,KAMOME000221,10COLORS카모메수저세트4P,파스텔컬러,10COLORS카모메수저세트4P,파스텔컬러,31200,14040.0,1,31200,14040.0
119709,검증된 국민수저! 카모메 4인 국산 수저세트 10colors (식세기O),빈티지 컬러 4인세트(색상4종),1,119709검증된국민수저!카모메4인국산수저세트10colors(식세기O)빈티지컬러4인세트(색상4종),,세정코코로,KAMOME000220,10COLORS카모메수저세트4P,빈티지컬러,10COLORS카모메수저세트4P,빈티지컬러,31200,14040.0,1,31200,14040.0
119709,검증된 국민수저! 카모메 4인 국산 수저세트 10colors (식세기O),파스텔 컬러 4인세트(색상4종),1,119709검증된국민수저!카모메4인국산수저세트10colors(식세기O)파스텔컬러4인세트(색상4종),,세정코코로,KAMOME000221,10COLORS카모메수저세트4P,파스텔컬러,10COLORS카모메수저세트4P,파스텔컬러,31200,14040.0,1,31200,14040.0
119709,검증된 국민수저! 카모메 4인 국산 수저세트 10colors (식세기O),크림옐로우 4인세트(동일색상),1,119709검증된국민수저!카모메4인국산수저세트10colors(식세기O)크림옐로우4인세트(동일색상),,세정코코로,KAMOME000130,10COLORS카모메수저세트,크림옐로우,10 COLORS 카모메 수저세트,크림옐로우,7800,3510.0,4,31200,14040.0
119709,검증된 국민수저! 카모메 4인 국산 수저세트 10colors (식세기O),크림옐로우 4인세트(동일색상),1,119709검증된국민수저!카모메4인국산수저세트10colors(식세기O)크림옐로우4인세트(동일색상),,세정코코로,KAMOME000130,10COLORS카모메수저세트,크림옐로우,10 COLORS 카모메 수저세트,크림옐로우,7800,3510.0,4,31200,14040.0
119709,검증된 국민수저! 카모메 4인 국산 수저세트 10colors (식세기O),크림옐로우 4인세트(동일색상),1,119709검증된국민수저!카모메4인국산수저세트10colors(식세기O)크림옐로우4인세트(동일색상),,세정코코로,KAMOME000130,10COLORS카모메수저세트,크림옐로우,10 COLORS 카모메 수저세트,크림옐로우,7800,3510.0,4,31200,14040.0
119709,검증된 국민수저! 카모메 4인 국산 수저세트 10colors (식세기O),빈티지 컬러 4인세트(색상4종),1,119709검증된국민수저!카모메4인국산수저세트10colors(식세기O)빈티지컬러4인세트(색상4종),,세정코코로,KAMOME000220,10COLORS카모메수저세트4P,빈티지컬러,10COLORS카모메수저세트4P,빈티지컬러,31200,14040.0,1,31200,14040.0
119709,검증된 국민수저! 카모메 4인 국산 수저세트 10colors (식세기O),파스텔 컬러 4인세트(색상4종),1,119709검증된국민수저!카모메4인국산수저세트10colors(식세기O)파스텔컬러4인세트(색상4종),,세정코코로,KAMOME000221,10COLORS카모메수저세트4P,파스텔컬러,10COLORS카모메수저세트4P,파스텔컬러,31200,14040.0,1,31200,14040.0
119709,검증된 국민수저! 카모메 4인 국산 수저세트 10colors (식세기O),크림옐로우 4인세트(동일색상),1,119709검증된국민수저!카모메4인국산수저세트10colors(식세기O)크림옐로우4인세트(동일색상),,세정코코로,KAMOME000130,10COLORS카모메수저세트,크림옐로우,10 COLORS 카모메 수저세트,크림옐로우,7800,3510.0,4,31200,14040.0
119709,검증된 국민수저! 카모메 4인 국산 수저세트 10colors (식세기O),크림옐로우 4인세트(동일색상),1,119709검증된국민수저!카모메4인국산수저세트10colors(식세기O)크림옐로우4인세트(동일색상),,세정코코로,KAMOME000130,10COLORS카모메수저세트,크림옐로우,10 COLORS 카모메 수저세트,크림옐로우,7800,3510.0,4,31200,14040.0
119709,검증된 국민수저! 카모메 4인 국산 수저세트 10colors (식세기O),빈티지 컬러 4인세트(색상4종),1,119709검증된국민수저!카모메4인국산수저세트10colors(식세기O)빈티지컬러4인세트(색상4종),,세정코코로,KAMOME000220,10COLORS카모메수저세트4P,빈티지컬러,10COLORS카모메수저세트4P,빈티지컬러,31200,14040.0,1,31200,14040.0
119709,검증된 국민수저! 카모메 4인 국산 수저세트 10colors (식세기O),파스텔 컬러 4인세트(색상4종),2,119709검증된국민수저!카모메4인국산수저세트10colors(식세기O)파스텔컬러4인세트(색상4종),,세정코코로,KAMOME000221,10COLORS카모메수저세트4P,파스텔컬러,10COLORS카모메수저세트4P,파스텔컬러,31200,14040.0,2,62400,28080.0
119709,검증된 국민수저! 카모메 4인 국산 수저세트 10colors (식세기O),파스텔 컬러 4인세트(색상4종),1,119709검증된국민수저!카모메4인국산수저세트10colors(식세기O)파스텔컬러4인세트(색상4종),,세정코코로,KAMOME000221,10COLORS카모메수저세트4P,파스텔컬러,10COLORS카모메수저세트4P,파스텔컬러,31200,14040.0,1,31200,14040.0
119709,검증된 국민수저! 카모메 4인 국산 수저세트 10colors (식세기O),크림옐로우 4인세트(동일색상),2,119709검증된국민수저!카모메4인국산수저세트10colors(식세기O)크림옐로우4인세트(동일색상),,세정코코로,KAMOME000130,10COLORS카모메수저세트,크림옐로우,10 COLORS 카모메 수저세트,크림옐로우,7800,3510.0,8,62400,28080.0
119709,검증된 국민수저! 카모메 4인 국산 수저세트 10colors (식세기O),추가상품 - 컬러 수저통 3구 세트 (수저통 3P+받침 1P) 3colors - 색상: 인디핑크,1,119709검증된국민수저!카모메4인국산수저세트10colors(식세기O)추가상품-컬러수저통3구세트(수저통3P+받침1P)3colors-색상:인디핑크,,세정코코로,KAMOME004254,카모메키친컬러수저통,인디핑크,카모메키친 컬러 수저통,인디핑크,17940,8073.0,1,17940,8073.0
119709,검증된 국민수저! 카모메 4인 국산 수저세트 10colors (식세기O),파스텔 컬러 4인세트(색상4종),1,119709검증된국민수저!카모메4인국산수저세트10colors(식세기O)파스텔컬러4인세트(색상4종),,세정코코로,KAMOME000221,10COLORS카모메수저세트4P,파스텔컬러,10COLORS카모메수저세트4P,파스텔컬러,31200,14040.0,1,31200,14040.0
119709,검증된 국민수저! 카모메 4인 국산 수저세트 10colors (식세기O),빈티지 컬러 4인세트(색상4종),1,119709검증된국민수저!카모메4인국산수저세트10colors(식세기O)빈티지컬러4인세트(색상4종),,세정코코로,KAMOME000220,10COLORS카모메수저세트4P,빈티지컬러,10COLORS카모메수저세트4P,빈티지컬러,31200,14040.0,1,31200,14040.0
120951,컬러 도자기 물빠짐 수저통 3구 세트 (수저통 3P+받침) 3colors,크리미,1,120951컬러도자기물빠짐수저통3구세트(수저통3P+받침)3colors크리미,,세정코코로,KAMOME006419,크리미3구수저통,NO,크리미 3구 수저통,,17940,8073.0,1,17940,8073.0
120951,컬러 도자기 물빠짐 수저통 3구 세트 (수저통 3P+받침) 3colors,크리미,1,120951컬러도자기물빠짐수저통3구세트(수저통3P+받침)3colors크리미,,세정코코로,KAMOME006419,크리미3구수저통,NO,크리미 3구 수저통,,17940,8073.0,1,17940,8073.0
120951,컬러 도자기 물빠짐 수저통 3구 세트 (수저통 3P+받침) 3colors,크리미,1,120951컬러도자기물빠짐수저통3구세트(수저통3P+받침)3colors크리미,,세정코코로,KAMOME006419,크리미3구수저통,NO,크리미 3구 수저통,,17940,8073.0,1,17940,8073.0
744688,10 COLORS 카모메 수저세트 2개세트(숟가락2개+젓가락2개),색상: 민트x2,1,74468810COLORS카모메수저세트2개세트(숟가락2개+젓가락2개)색상:민트x2,,세정코코로,KAMOME000122,10COLORS카모메수저세트,민트,10 COLORS 카모메 수저세트,민트,7800,3510.0,2,15600,7020.0
744688,10 COLORS 카모메 수저세트 2개세트(숟가락2개+젓가락2개),색상: 와인x2,1,74468810COLORS카모메수저세트2개세트(숟가락2개+젓가락2개)색상:와인x2,,세정코코로,KAMOME000131,10COLORS카모메수저세트,와인,10 COLORS 카모메 수저세트,와인,7800,3510.0,2,15600,7020.0
744688,10 COLORS 카모메 수저세트 2개세트(숟가락2개+젓가락2개),색상: 크림옐로우x2,1,74468810COLORS카모메수저세트2개세트(숟가락2개+젓가락2개)색상:크림옐로우x2,,세정코코로,KAMOME000130,10COLORS카모메수저세트,크림옐로우,10 COLORS 카모메 수저세트,크림옐로우,7800,3510.0,2,15600,7020.0
1082451,Duralex 램킨 미니볼 S size,S size,3,1082451Duralex램킨미니볼SsizeSsize,,세정코코로,KAMOME006906,Duralex램킨미니볼,S,Duralex 램킨 미니볼,S ,4290,1930.5,3,12870,5791.5
1709423,큰 사이즈 펠트 손잡이 수납정리함 바구니 2사이즈(M/L) 4컬러,사이즈: L size / 컬러: 아이보리,3,1709423큰사이즈펠트손잡이수납정리함바구니2사이즈(M/L)4컬러사이즈:Lsize/컬러:아이보리,,세정코코로,KAMOME007184,펠트수납정리함L,아이보리,펠트 수납정리함L,아이보리,9360,4212.0,3,28080,12636.0
1709423,큰 사이즈 펠트 손잡이 수납정리함 바구니 2사이즈(M/L) 4컬러,사이즈: M size / 컬러: 아이보리,1,1709423큰사이즈펠트손잡이수납정리함바구니2사이즈(M/L)4컬러사이즈:Msize/컬러:아이보리,,세정코코로,KAMOME007188,펠트수납정리함M,아이보리,펠트 수납정리함M,아이보리,5070,2281.5,1,5070,2281.5
2070786,열쇠 오프너 병따개,단품,1,2070786열쇠오프너병따개단품,,세정코코로,KAMOME007402,열쇠오프너병따개,NO,열쇠 오프너 병따개,,3042,1368.9,1,3042,1368.9
2370135,샤르망 커트러리-마호가니_디너포크+나이프 SET선물,NO,1,2370135샤르망커트러리-마호가니_디너포크+나이프SET선물NO,옵션구분2,세정코코로,KAMOME006448,샤르망커트러리마호가니,디너포크,샤르망 커트러리 마호가니,디너포크,2730,1228.5,1,2730,1228.5
2370135,샤르망 커트러리-마호가니_디너포크+나이프 SET선물,NO,1,2370135샤르망커트러리-마호가니_디너포크+나이프SET선물NO,옵션구분2,세정코코로,KAMOME006448,샤르망커트러리마호가니,디너포크,샤르망 커트러리 마호가니,디너포크,2730,1228.5,1,2730,1228.5
2465259,모드니 차박 가리개 커튼 2P세트,아이보리,2,2465259모드니차박가리개커튼2P세트아이보리,,세정코코로,KAMOME007733,모드니차박가리개커튼2P세트,아이보리,모드니 차박 가리개 커튼 2P세트,아이보리,23322,10494.9,2,46644,20989.8
332798959,10 COLORS 카모메키친 한식 수저세트 1+1(숟가락2개+젓가락2개) 성인/아동용,타입: 카모메 수저세트(숟가락2개+젓가락2개) / 색상: 민트X2,1,33279895910COLORS카모메키친한식수저세트1+1(숟가락2개+젓가락2개)성인/아동용타입:카모메수저세트(숟가락2개+젓가락2개)/색상:민트X2,,세정코코로,KAMOME000122,10COLORS카모메수저세트,민트,10 COLORS 카모메 수저세트,민트,7800,3510.0,2,15600,7020.0
332798959,10 COLORS 카모메키친 한식 수저세트 1+1(숟가락2개+젓가락2개) 성인/아동용,타입: 카모메 수저세트(숟가락2개+젓가락2개) / 색상: 머스타드X2,1,33279895910COLORS카모메키친한식수저세트1+1(숟가락2개+젓가락2개)성인/아동용타입:카모메수저세트(숟가락2개+젓가락2개)/색상:머스타드X2,,세정코코로,KAMOME000135,10COLORS카모메수저세트,머스타드,10 COLORS 카모메 수저세트,머스타드,7800,3510.0,2,15600,7020.0
332798959,10 COLORS 카모메키친 한식 수저세트 1+1(숟가락2개+젓가락2개) 성인/아동용,타입: 카모메 수저세트(숟가락2개+젓가락2개) / 색상: 크림옐로우X2,2,33279895910COLORS카모메키친한식수저세트1+1(숟가락2개+젓가락2개)성인/아동용타입:카모메수저세트(숟가락2개+젓가락2개)/색상:크림옐로우X2,,세정코코로,KAMOME000130,10COLORS카모메수저세트,크림옐로우,10 COLORS 카모메 수저세트,크림옐로우,7800,3510.0,4,31200,14040.0
332798959,10 COLORS 카모메키친 한식 수저세트 1+1(숟가락2개+젓가락2개) 성인/아동용,타입: 카모메 수저세트(숟가락2개+젓가락2개) / 색상: 그레이X2,2,33279895910COLORS카모메키친한식수저세트1+1(숟가락2개+젓가락2개)성인/아동용타입:카모메수저세트(숟가락2개+젓가락2개)/색상:그레이X2,,세정코코로,KAMOME000126,10COLORS카모메수저세트,그레이,10 COLORS 카모메 수저세트,그레이,7800,3510.0,4,31200,14040.0
332798959,10 COLORS 카모메키친 한식 수저세트 1+1(숟가락2개+젓가락2개) 성인/아동용,타입: 카모메 키즈 수저세트(숟가락2개+젓가락2개) / 색상: 실버블루X2,1,33279895910COLORS카모메키친한식수저세트1+1(숟가락2개+젓가락2개)성인/아동용타입:카모메키즈수저세트(숟가락2개+젓가락2개)/색상:실버블루X2,,세정코코로,KAMOME000185,10COLORS카모메키즈수저세트,실버블루,10 COLORS 카모메 키즈 수저세트,실버블루,7800,3510.0,2,15600,7020.0
1778694542,[카모메키친] 라이트 스몰비어컵 200ml 2P세트,NO,1,1778694542[카모메키친]라이트스몰비어컵200ml2P세트NO,,세정코코로,KAMOME001844,라이트스몰비어컵200ml2P세트,NO,라이트 스몰비어컵 200ml 2P세트,,15210,6844.5,1,15210,6844.5
6044673196,"마나 원터치 밀폐용기, 1개, S",S,1,"6044673196마나원터치밀폐용기,1개,SS",,세정코코로,KAMOME007124,마나원터치밀폐용기4size,S,마나 원터치 밀폐용기 4size,S,17550,7897.5,1,17550,7897.5
10481836485,실리콘 냄비받침,컬러 선택: 인디핑크,1,10481836485실리콘냄비받침컬러선택:인디핑크,,세정코코로,KAMOME007615,실리콘냄비받침,인디핑크,실리콘 냄비받침,인디핑크,2730,1228.5,1,2730,1228.5
2370135-1,샤르망 커트러리-마호가니_디너포크+나이프 SET선물,NO,1,2370135-1샤르망커트러리-마호가니_디너포크+나이프SET선물NO,옵션구분2,세정코코로,KAMOME006446,샤르망커트러리마호가니,나이프,샤르망 커트러리 마호가니,나이프,2730,1228.5,1,2730,1228.5
2370135-1,샤르망 커트러리-마호가니_디너포크+나이프 SET선물,NO,1,2370135-1샤르망커트러리-마호가니_디너포크+나이프SET선물NO,옵션구분2,세정코코로,KAMOME006446,샤르망커트러리마호가니,나이프,샤르망 커트러리 마호가니,나이프,2730,1228.5,1,2730,1228.5
